,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
177,밤콩밥(30),애호박새우젓국,느타리버섯나물,매콤콩나물무침,나박김치,S호두우유,S멸치죽,열무비빔밥,느타리버섯국,배무생채,양념가지찜,열무김치,S쌀음료,S연두부샐러드(오리엔탈드레싱),찹쌀밥,팥죽,가지양념찜,후라이드치킨,총각김치
178,수수밥(30),만두국,채소크로켓,팽이버섯나물,열무물김치,S우유(100ml),S단호박크림리조또,일본식소고기덮밥(규동),애호박맑은국,돌나물흑임자샐러드,우엉채곤약조림,비트초절이,S토마토주스,S건포도감자볼,찹쌀밥(추가),조랭이떡미역국,애호박건새우볶음,고구마순된장무침,깍두기
179,팥밥(30),바지락파래국,무말랭이,냉이나물,총각김치,S미숫가루,S수제바나나우유,닭살카레감자밥+양념장,느타리버섯국,주꾸미채소간장볶음,empty,오이소박이김치,S마카로니채소샐러드,S소고기우엉죽,밤콩밥,두부전골,건새우애호박볶음,empty,나박김치
180,가지채소볶음밥,팥죽,열무볶음,닭고기냉채,깍두기,S연두부샐러드(오리엔탈드레싱),S수제딸기우유,수수밥(30),감자탕,미나리초무침,두부잡채,파김치,S청경채죽,S쌀음료,밤찹쌀팥밥,배추된장국,해물김치전,메추리알고구마조림,열무물김치
181,찹쌀밥(추가),조갯살된장찌개,채소크로켓,팽이버섯부추나물,총각김치,S우유(100ml),S매실차,팥밥(30),모듬버섯찌개,무말랭이,도라지나물,콜라비나박김치,S온도토리묵밥,S오이당근스틱,소고기가지덮밥,찹쌀옹심이국,치즈감자조림,소고기청경채볶음,동치미
182,찹쌀팥밥,순두부찌개,다시마감자채전,애호박콩가루볶음,비트초절이,S보리차,S우유미숫가루,밤찹쌀팥밥(30),달래맑은국,파프리카유자청무침,새우살달걀찜,열무김치,S참깨채소죽,S연두부샐러드(오리엔탈드레싱),찹쌀밥,건새우시금치국,닭다리살장조림,훈제오리단호박볶음,깍두기
183,흑미밥(30),애호박맑은국,건새우애호박볶음,연근흑임자샐러드,총각김치,S바나나쉐이크,S온도토리묵국,일본식소고기덮밥(규동),모듬버섯찌개,채소크로켓,동태포전,나박김치,S건포도감자볼,S쌀음료,밤콩밥(30),조랭이떡미역국,팽이버섯부추나물,참나물볶음,오이소박이김치
184,소고기가지덮밥,팥죽,소고기우엉조림,애호박건새우볶음,깍두기,S토마토주스,S연두부샐러드(오리엔탈드레싱),콩밥(40),낙지연포탕,깐쇼새우,empty,열무물김치,S수제바나나우유,empty,찹쌀밥(추가),유부실파국,냉이무침,empty,비트초절이
185,옥수수밥(30),콩나물육개장,파래자반,애호박볶음,총각김치,S건포도감자볼,S복숭아호두스무디,찹쌀팥밥,느타리버섯국,취나물무침,돼지고기짜장볶음,나박김치,S쌀음료,S버섯채소죽,팥찹쌀밥,미역만두국,(고춧가루제외)부추사과무침,고구마순된장무침,열무김치
186,찹쌀밥,두부전골,배무생채,매콤콩나물무침,열무물김치,S소고기미역죽,S연두부샐러드(오리엔탈드레싱),팥밥(30),호박맑은국,느타리버섯나물,주꾸미채소간장볶음,깍두기,S단호박식혜,S고구마쉐이크,돼지고기양배추덮밥,만두닭개장,봄동해물전,콩나물냉채,단무지무침
187,소고기카레라이스,모듬어묵국,브로콜리견과류볶음,두부참치샐러드(유자청드레싱),얼갈이배추김치,S우유(200ml),S청경채죽,수수밥(30),우동국물,감자버터구이,무말랭이,오이소박이김치,S쌀음료,S고구마샐러드(마요네즈),기장밥,감자탕,감자어묵볶음,브로콜리양배추찜,총각김치
188,팥밥(30),콩나물육개장,돌나물흑임자샐러드,파프리카유자청무침,단무지무침,S건포도감자볼,S단호박식혜,찹쌀밥,두부전골,주꾸미채소간장볶음,고구마순된장무침,깍두기,S수제바나나우유,S소고기미역죽,일본식소고기덮밥(규동),미역만두국,가지양념찜,매콤콩나물무침,비트초절이
189,돼지고기양배추덮밥,애호박새우젓국,군만두,양념가지찜,나박김치,S고구마쉐이크,S쌀음료,찹쌀밥(추가),곤약어묵국,배무생채,애호박볶음,열무김치,S연두부샐러드(오리엔탈드레싱),S크림소스스파게티,옥수수밥(30),미니유부우동,가지구이,김치녹두전,총각김치
190,팥밥(30),애호박맑은국,고구마순된장무침,돌나물흑임자샐러드,오이소박이김치,S건포도감자볼,S미숫가루,밤콩밥,만두국,느타리버섯나물,도라지나물,열무물김치,S크림리조또,S수제바나나우유,일본식소고기덮밥(규동),느타리버섯국,냉이무침,미트볼피망조림,비트초절이
191,수수밥(30),미니유부우동,감자버터구이,채소크로켓,나박김치,S단호박크림리조또,S참외샐러드,찹쌀밥(추가),감자미역국,팽이버섯부추나물,애호박건새우볶음,오이피클,S쌀음료,S우유(100ml),흑미밥,두부전골,팽이버섯나물,empty,깍두기
192,소고기가지덮밥,모듬버섯찌개,무말랭이,도라지나물,오이소박이김치,S크림소스스파게티,S수제바나나우유,팥밥(30),맑은닭개장,단배추멸치조림,참외노각무침,비트초절이,S감자샐러드,S둥글레차,밤콩밥,느타리버섯국,동그랑땡전,empty,총각김치
193,돼지고기양배추덮밥,만두순두부찌개,가지양념찜,느타리버섯나물,나박김치,S연두부샐러드(오리엔탈드레싱),S식혜,옥수수밥(30),만두닭개장,두부채소굴소스볶음,매콤콩나물무침,열무물김치,S고구마쉐이크,empty,찹쌀밥,온청포묵국,배무생채,양념가지찜,단무지무침
194,열무비빔밥,만두국,고구마순된장무침,주꾸미채소간장볶음,비트초절이,S치즈스틱,S복숭아호두스무디,찹쌀밥(추가),느타리버섯국,애호박나물,(고춧가루제외)부추사과무침,깍두기,S오렌지주스(무가당),S건포도감자볼,밤콩밥(30),설렁탕+소면,애호박볶음,우엉채곤약조림,총각김치
195,수수밥(30),두부전골,느타리버섯나물,가지구이,열무김치,S연두부샐러드(오리엔탈드레싱),S수제블루베리우유,옥수수밥,애호박맑은국,해물김치전,무말랭이,오이소박이김치,S쌀음료,S소고기옥수수죽,일본식소고기덮밥(규동),모듬버섯찌개,팽이버섯나물,채소크로켓,열무물김치
196,율무밥(30),바지락된장국,양상추샐러드(오리엔탈드레싱),돼지고기짜장볶음,비트초절이,S바나나쉐이크,S참깨우유스프,찹쌀보리밥,매콤애호박국,참나물간장무침,열무볶음,깍두기,S감자채요거트샐러드,S검은깨두유(100ml),돼지고기카레볶음밥,감자탕,브로콜리채소볶음,empty,총각김치
197,밤콩밥,감자호박국,주꾸미채소간장볶음,메추리알곤약조림,열무김치,S연두부샐러드(오리엔탈드레싱),S단팥죽,밤콩밥(40),감자채맑은국,얼갈이배추겉절이,모듬견과조림,열무물김치,S쌀음료,S수제블루베리우유,쌀밥(추가),콩나물국,닭안심사과볶음,오이볶음,나박김치
198,취나물표고영양밥,미역만두국,새우살볶음,애호박생선살찜,비트초절이,S소고기우엉죽,S수제바나나우유,율무밥,두부대합탕국,새우살채소볶음,empty,깍두기,S건포도감자볼,S단호박식혜,옥수수밥(40),만두닭개장,더덕사과무침,empty,단무지
199,브로콜리채소볶음밥,모듬버섯찌개,건새우애호박볶음,차돌숙주볶음,오이피클,S우유(100ml),S참외샐러드,찹쌀밥(추가),다시마감자국,애호박건새우볶음,팽이버섯나물,총각김치,S쌀음료,empty,고구마밥(40),만두순두부찌개,느타리버섯나물,채소크로켓,오이소박이김치
200,옥수수밥(30),버섯샤브샤브,어묵감자조림,주꾸미채소간장볶음,나박김치,S단호박식혜,S고구마쉐이크,찹쌀밥,애호박젓국찌개,고구마순된장무침,매콤콩나물무침,열무물김치,S연두부샐러드(오리엔탈드레싱),empty,새우버섯덮밥,크림스프,가지양념찜,연근채소전,깍두기
201,닭살카레감자밥+양념장,느타리버섯국,느타리버섯나물,감자그라탕,비트초절이,S복숭아호두스무디,S온도토리묵국,찹쌀밥(추가),만두닭개장,(고춧가루제외)부추사과무침,애호박볶음,열무김치,S건포도감자볼,S쌀음료,팥밥(30),곤약어묵국,우엉채곤약조림,양념가지찜,총각김치
202,밤콩밥,조갯살아욱국,건새우애호박볶음,연근채소전,깍두기,S단호박식혜,S연두부샐러드(오리엔탈드레싱),수수밥(30),고추장찌개,녹두전,가지구이,열무물김치,S수제바나나우유,empty,일본식소고기덮밥(규동),만두국,참외노각무침,empty,나박김치
203,찹쌀팥밥,조랭이떡미역국,토마토치즈샐러드,우엉채곤약조림,오이소박이김치,S온도토리묵밥,S우유(100ml),찹쌀밥(30),느타리버섯국,가지무침,느타리버섯당근볶음,열무김치,S참외샐러드,S쌀음료,소고기가지덮밥,다시마감자국,채소크로켓,애호박볶음,비트초절이
204,찹쌀보리밥(30),김치두부찌개,얼갈이나물,연근흑임자소스무침,단무지,S건포도감자볼,S동태살죽,소고기김주먹밥,버섯부추국,무말랭이,게살스크램블에그,동치미,S수제바나나우유,S식혜,옥수수밥,감자탕,춘천닭갈비,참나물무침,깍두기
205,찹쌀팥밥,해물우동볶음,양배추마요무침,닭가슴살샐러드(머스타드소스),얼갈이배추김치,S단호박식혜,S당근스프,찹쌀밥(추가),쑥국,애호박콩가루볶음,양배추볶음,백김치,S호두우유,S과일샐러드(마요네즈),율무밥(30),돼지고기된장찌개,고구마줄기볶음,파래자반,열무물김치
206,밤콩밥,애호박두부된장국,완자전,도라지무침,콜라비나박김치,S소고기우엉죽,S연두부샐러드(오리엔탈드레싱),소고기가지덮밥,미역만두국,김치녹두전,가지무침,깍두기,S쌀음료,S수제바나나우유,수수밥(30),애호박새우젓국찌개,매콤주꾸미볶음,고구마순된장무침,비트초절이
207,찹쌀밥(추가),만두국,진미채무말랭이무침,애호박건새우볶음,총각김치,S미숫가루,S바나나쉐이크,밤밥(40),애호박두부젓국,뼈없는닭갈비,달걀간장조림,열무물김치,S건포도감자볼,S소고기무죽,브로콜리채소볶음밥,느타리버섯국,건새우애호박볶음,empty,열무김치
208,잡곡밥(40),바지락국,주꾸미채소볶음,무말랭이,나박김치,S수제블루베리우유,S쌀음료,가지채소볶음밥,김치두부국,고구마줄기볶음,다시마감자채전,파김치,S캐슈넛참깨죽,S연두부샐러드(오리엔탈드레싱),밤찹쌀팥밥,차돌박이된장국,취나물무침,empty,콜라비나박김치
209,팥밥(30),만두순두부찌개,(고춧가루제외)부추사과무침,두부채소굴소스볶음,깍두기,S건포도감자볼,S고구마쉐이크,찹쌀밥,애호박젓국찌개,느타리버섯무침,건새우애호박볶음,단무지무침,S둥글레차,S소고기미역죽,돼지고기양배추덮밥,느타리버섯국,애호박나물,가지양념찜,총각김치
210,찹쌀현미밥(30),느타리버섯국,닭봉소스조림,애호박건새우볶음,깍두기,S쌀음료,S소고기우엉죽,소고기가지덮밥,두부전골,낙지떡찜,가지양념무침,오이소박이김치,S건포도감자볼,S우유(100ml),옥수수밥,감자탕,냉이무침,애호박볶음,열무물김치
211,찹쌀밥(추가),모듬버섯찌개,상추사과초무침,무말랭이,비트초절이,S토마토주스,S수제바나나우유,수수밥(30),만두국,볼어묵조림,empty,나박김치,S참외샐러드,S소고기옥수수죽,일본식소고기덮밥(규동),머위들깨국,건새우애호박볶음,empty,총각김치
212,율무밥,낙지연포탕,열무볶음,돼지고기구이,오이소박이김치,S우유(200ml),S마카로니채소샐러드,흑미밥(30),배추당면국,브로콜리양배추찜,크래미채소볶음,파김치,S단호박식혜,S우엉주먹밥,소고기카레라이스,감자국,취나물된장무침,얼갈이나물,깍두기
213,옥수수밥(30),미역만두국,고구마줄기볶음,양념가지찜,나박김치,S쌀음료,S우유미숫가루,돼지고기양배추덮밥,느타리버섯국,파래자반,얼갈이무침,총각김치,S건포도감자볼,S두부채소죽,찹쌀밥,삼계탕,건새우애호박볶음,empty,비트초절이
214,팥밥(30),느타리버섯맑은국,으깬두부채소전,느타리버섯나물,단무지무침,S치즈스틱,S과일연두부스무디,율무밥,해물볶음우동,애호박볶음,가지양념찜,깍두기,S고구마쉐이크,S연두부샐러드(오리엔탈드레싱),찹쌀팥밥,만두닭개장,고구마순된장무침,매콤콩나물무침,열무물김치
215,두부카레라이스,미역만두국,크림떡볶이,가지나물무침,비트초절이,S우유(100ml),S단호박식혜,수수밥(30),만두국,팽이버섯나물,더덕사과무침,나박김치,S건포도감자볼,empty,찹쌀밥(추가),다시마새우젓국,연근흑임자샐러드,느타리버섯무침,동치미
216,돼지고기양배추덮밥,느타리버섯맑은국,고구마순된장무침,가지양념찜,총각김치,S쌀음료,S두부채소죽,옥수수밥(30),느타리버섯국,애호박나물,너비아니채소볶음,깍두기,S고구마쉐이크,S연두부샐러드(오리엔탈드레싱),찹쌀밥,만두국,애호박볶음,양념가지찜,열무물김치
217,팥밥(30),버섯맑은국,느타리버섯나물,채소크로켓,오이피클,S소고기우엉죽,S미숫가루,일본식소고기덮밥(규동),애호박맑은국,미트볼피망조림,채소비빔소면,나박김치,S수제바나나우유,S건포도감자볼,밤콩밥,두부전골,가지구이,건새우애호박볶음,열무김치
218,브로콜리채소볶음밥,느타리버섯국,건새우애호박볶음,미나리초무침,총각김치,S우유(100ml),S소고기우엉죽,밤찹쌀팥밥,조랭이떡미역국,애호박건새우볶음,empty,깍두기,S토마토두부샐러드,S미숫가루,팥밥(30),만두국,채소크로켓,empty,나박김치
219,찹쌀팥밥,늙은호박국,냉이나물,모듬버섯전,깍두기,S검은깨두유(150ml),S참외샐러드,수수밥(30),아욱된장국,닭감자고구마조림,감자어묵볶음,오이소박이김치,S우유(150ml),S당근김죽,콩밥,채소스프,취나물된장무침,empty,총각김치
220,돼지고기카레라이스,팥죽,낙지떡찜,애호박건새우볶음,열무물김치,S복숭아호두스무디,S건포도감자볼,찹쌀밥,크림스프,건새우애호박볶음,팽이버섯부추나물,나박김치,S쌀음료,empty,옥수수밥(30),조랭이떡미역국,삼겹케첩조림,느타리버섯나물,동치미
221,콩밥,모듬버섯찌개,고구마순된장무침,돼지고기구이,총각김치,S수제바나나우유,S마카로니채소샐러드,팥밥(30),느타리버섯국,감자어묵볶음,미트볼피망조림,비트초절이,S치즈게살죽,S단호박식혜,밤콩밥,두부전골,팽이버섯나물,냉이나물,깍두기
222,옥수수밥(30),미역만두국,가지양념찜,느타리버섯나물,나박김치,S고구마맛탕,S식혜,찹쌀밥,채소스프,건새우애호박볶음,가지구이,열무물김치,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,소고기채소볶음밥,새우살시금치국,매콤콩나물무침,empty,열무김치
223,불고기채소비빔밥,만두국,진미채무말랭이무침,우엉채곤약조림,깻잎김치,S건포도감자볼,S쌀음료,율무밥,두부전골,마카로니채소샐러드(마요네즈),(고춧가루제외)부추사과무침,총각김치,S복숭아호두스무디,empty,밤콩밥(30),다시마감자국,고구마순된장무침,콩자반,비트초절이
224,찹쌀밥,미역만두국,애호박볶음,느타리버섯나물,깍두기,S크림소스스파게티,S연두부샐러드(오리엔탈드레싱),일본식소고기덮밥(규동),감자탕,깻잎감자전,양배추샐러드(레몬드레싱),단무지무침,S둥글레차,S고구마쉐이크,옥수수밥(30),애호박젓국찌개,다시마감자채전,매콤콩나물무침,나박김치
225,찹쌀밥(추가),두부감자국,고구마순된장무침,냉이무침,오이피클,S마카로니채소샐러드,S소고기무죽,소고기가지덮밥,느타리버섯국,닭가슴살데리야끼조림,empty,오이소박이김치,S수제바나나우유,S쌀음료,찹쌀밥(추가),만두국,무말랭이무침,empty,총각김치
226,밤콩밥,팥죽,건새우애호박볶음,양상추샐러드(발사믹드레싱),깍두기,S치즈게살죽,S호두우유,고구마밥(30),버섯맑은국,채소크로켓,도라지무침,석박지,S연두부샐러드(오리엔탈드레싱),S보리차,일본식소고기덮밥(규동),조랭이떡미역국,느타리버섯나물,매콤낙지채소볶음,나박김치
227,옥수수밥(30),느타리버섯국,새우살케첩볶음,무말랭이,동치미,S채소전,S우유(100ml),소고기가지덮밥,조랭이떡미역국,고구마순된장무침,호박나물,열무김치,S쌀음료,S건포도감자볼,찹쌀밥(추가),만두국,도라지나물,empty,오이소박이김치
228,밤콩밥,조랭이떡미역국,삼겹케첩조림,애호박건새우볶음,나박김치,S감자샐러드,S복숭아호두스무디,유부초밥,늙은호박국,파프리카유자청무침,냉이나물,총각김치,S단호박식혜,empty,팥밥(30),바지락된장국,우엉채곤약조림,empty,깍두기
229,수수밥(30),북어국,팽이버섯나물,새우채소전,콜라비나박김치,S쌀음료,S고구마쉐이크,해물버섯덮밥,느타리버섯국,애호박생선살찜,미트볼피망조림,오이소박이김치,S단팥죽,S연두부샐러드(오리엔탈드레싱),찹쌀밥(추가),유부실파국,도라지배무침,도라지무침,열무김치
230,찹쌀보리밥,달래된장국,새우살케첩볶음,버섯채소볶음,깍두기,S우유(100ml),S단호박샐러드(마요네즈),소고기카레라이스,홍합살맑은국,주꾸미채소볶음,상추사과초무침,얼갈이배추김치,S코코아,S해물죽,고구마밥(40),새우맑은국,연근감자전,쑥갓두부무침,나박김치
231,찹쌀밥(추가),두부전골,무말랭이,채소크로켓,열무물김치,S단호박식혜,S양배추치즈전,일본식소고기덮밥(규동),김치국,도라지무침,empty,총각김치,S수제블루베리바나나우유,S연두부샐러드(오리엔탈드레싱),수수밥(30),느타리버섯국,달걀말이,empty,석박지
232,밤콩밥,만두국,애호박건새우볶음,고구마순된장무침,나박김치,S채소전,S쌀음료,소고기굴소스볶음밥,팥죽,팽이버섯나물,우엉채곤약조림,비트초절이,S참외샐러드,S우유(100ml),팥밥(30),바지락된장국,팽이버섯부추나물,간장코다리강정,깍두기
233,찹쌀밥(추가),느타리버섯국,도라지나물,가지양념찜,열무물김치,S토마토주스,S수제비,소고기가지덮밥,애호박맑은국,연근흑임자샐러드,군만두,오이소박이김치,S수제바나나우유,S연두부샐러드(오리엔탈드레싱),수수밥(30),당근스프,무몰무침,empty,총각김치
234,잡곡밥(40),삼계탕,곤드레나물,주꾸미채소볶음,나박김치,S건포도감자볼,S버섯장국죽,가지채소볶음밥,청경채된장국,단호박해물찜,주꾸미채소간장볶음,파김치,S오렌지주스(무가당),S수제블루베리우유,밤찹쌀팥밥,소갈비탕,취나물무침,고구마줄기볶음,깍두기
235,콩밥,늙은호박국,냉이나물,다시마튀각,비트초절이,S수제딸기우유,S검은깨두유(150ml),돼지고기카레라이스,아욱된장국,주꾸미볶음,모듬버섯전,오이피클,S당근김죽,S연두부샐러드(오리엔탈드레싱),수수밥(30),채소스프,감자어묵볶음,취나물된장무침,총각김치
236,돼지고기양배추덮밥,느타리버섯국,고구마순된장무침,오이토마토샐러드(발사믹드레싱),깍두기,S건포도감자볼,S소고기미역죽,밤찹쌀팥밥,미역만두국,양념가지찜,매콤콩나물무침,나박김치,S쌀음료,S복숭아호두스무디,보리밥(30),만두닭개장,애호박볶음,empty,깻잎김치
237,찹쌀밥,두부감자국,가지양념찜,주꾸미채소간장볶음,열무물김치,S식혜,S고구마쉐이크,일본식소고기덮밥(규동),애호박젓국찌개,어묵감자조림,애호박콩가루볶음,열무김치,S대추우유스프,S감자샐러드,옥수수밥(30),호박맑은국,군만두,배무생채,총각김치
238,수수밥(30),표고버섯탕,두부채소굴소스볶음,더덕사과무침,비트초절이,S참외샐러드,S닭고기흑임자죽,소고기가지덮밥,애호박새우젓국찌개,고구마순된장무침,무말랭이,나박김치,S우유(100ml),S쌀음료,찹쌀밥(추가),온도토리묵국,연근흑임자샐러드,양상추유자청샐러드,깍두기
239,밤밥,어묵맑은국,매생이육전,마늘쫑무침,열무물김치,S연두부샐러드(오리엔탈드레싱),S우유(200ml),팥밥,단호박수제비,감자버터구이,고구마줄기볶음,백김치,S과일연두부스무디,S우엉주먹밥,고구마밥(30),새우살미역국,양배추샐러드(참깨드레싱),느타리버섯나물,오이소박이김치
240,수수밥(30),두부전골,고구마순된장무침,도라지무침,단무지무침,S고구마쉐이크,S연두부샐러드(오리엔탈드레싱),소고기가지덮밥,모시조개국,느타리버섯당근볶음,메추리알고구마조림,비트초절이,S코코아,S소고기무죽,찹쌀밥(추가),바지락파래국,가지구이,도라지들깨나물,열무김치
241,닭살카레감자밥+양념장,새알미역국,팽이버섯부추나물,팽이버섯나물,석박지,S참외샐러드,S쌀음료,밤콩밥,배추당면국,느타리버섯나물,채소크로켓,총각김치,S우유(100ml),S치즈게살죽,팥밥(30),만두국,마늘쫑무침,참나물볶음,깍두기
242,찹쌀밥(추가),두부전골,가지양념찜,매콤콩나물무침,비트초절이,S두유(100ml),S수제딸기우유,옥수수밥(30),느타리버섯국,두부채소굴소스볶음,감자그라탕,나박김치,S수제비,S연두부샐러드(오리엔탈드레싱),크림소스스파게티,empty,파프리카유자청무침,무말랭이,열무물김치
243,찹쌀밥,미역만두국,건새우애호박볶음,배무생채,깍두기,S감자샐러드,S복숭아호두스무디,일본식소고기덮밥(규동),만두닭개장,느타리버섯나물,양념가지찜,열무김치,S소고기미역죽,S쌀음료,밤콩밥(30),느타리버섯맑은국,브로콜리참깨무침,empty,깻잎김치
244,옥수수밥(30),팽이버섯맑은국,가지양념찜,주꾸미채소간장볶음,나박김치,S소고기감자죽,S고구마쉐이크,찹쌀밥(추가),온청포묵국,콩자반,소고기동그랑땡전,비트초절이,S건포도감자볼,S식혜,소고기채소볶음밥,느타리버섯국,두부채소굴소스볶음,고구마순된장무침,열무물김치
245,돼지고기양배추덮밥,애호박젓국찌개,매콤콩나물무침,양념가지찜,단무지무침,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,찹쌀밥,곤약어묵국,건새우애호박볶음,무말랭이,깍두기,S오미자아이스크림,S두부채소죽,팥밥(30),매생이홍합국,애호박나물,empty,총각김치
246,잡곡밥(30),실파콩나물국,돼지고기짜장볶음,깻잎새콤무침,열무김치,S토마토주스,S우유미숫가루,고구마밥,유부팽이국,참나물겉절이,주꾸미채소간장볶음,오이소박이김치,S달걀죽,S고구마샐러드(마요네즈),새우편마늘볶음밥,맑은가쓰오부시장국,달걀새송이장조림,감자돼지갈비찜,나박김치
247,오므라이스,미니유부우동,우엉채곤약조림,느타리버섯나물,석박지,S수제바나나우유,S쌀음료,찹쌀밥(추가),만두국,도라지무침,가지구이,깍두기,S연두부샐러드(오리엔탈드레싱),S고구마맛탕,수수밥(30),애호박맑은국,냉이무침,고구마순된장무침,총각김치
248,팥밥(30),느타리버섯국,주꾸미채소간장볶음,콩나물무침,열무물김치,S미숫가루,S건포도감자볼,소고기김주먹밥,매콤애호박국,아욱건새우전,팽이버섯나물,오이소박이김치,S우유(100ml),S팥죽,밤콩밥,바지락된장국,미트볼피망조림,empty,나박김치
249,찹쌀팥밥,김치맑은국,토마토두부무조림,애호박볶음,깍두기,S수제바나나우유,S소고기감자죽,돼지고기양배추덮밥,만두국,양념가지찜,청경채초무침,총각김치,S쌀음료,S토마토두부샐러드,밤콩밥(30),느타리버섯맑은국,매콤콩나물무침,가지양념찜,깻잎김치
250,소고기가지덮밥,느타리버섯국,주꾸미채소간장볶음,애호박생선살찜,총각김치,S수제바나나우유,S단호박크림리조또,팥밥(30),두부전골,팽이버섯나물,소고기버섯불고기,비트초절이,S쌀음료,S연두부샐러드(오리엔탈드레싱),찹쌀밥(추가),만두국,우엉채곤약조림,도라지무침,깍두기
251,밤찹쌀팥밥,감자탕,순살닭볶음탕,메추리알고구마조림,오이소박이김치,S건포도감자볼,S오렌지주스,쌀밥(추가),바지락된장국,참나물볶음,코다리엿장조림,나박김치,S배추버섯죽,S우유(200ml),수수밥(30),팥죽,장산적조림,갈치카레튀김,파김치
252,해물볶음밥,순두부국,소고기찹쌀구이,건새우볶음,비트초절이,S참깨채소죽,S멜론(50g),율무밥,모시조개탕,양상추유자청무침,방풍나물,열무물김치,S단호박식혜,S우유미숫가루,현미밥(40),북어국,게맛살파프리카볶음,메추리알곤약조림,얼갈이배추김치
253,현미찹쌀밥,어탕국수,매콤주꾸미볶음,가지나물무침,총각김치,S쌀음료,S수제바나나우유,소고기김주먹밥,우거지맑은국,애호박생선살찜,더덕사과무침,나박김치,S당근스프,S연두부샐러드(오리엔탈드레싱),율무밥(30),만두닭개장,팽이버섯나물,김치녹두전,깍두기
254,쌀밥(추가),애호박맑은국,견과류고구마범벅,고구마순된장무침,오이소박이김치,S토마토주스,S건포도감자볼,밤콩밥(30),느타리버섯국,도라지무침,닭가슴살데리야끼조림,오이피클,S수제블루베리우유,empty,소고기굴소스볶음밥,만두국,우엉채곤약조림,empty,비트초절이
255,쌀밥,만두국,두부채소굴소스볶음,애호박볶음,나박김치,S수제바나나우유,S참깨우유스프,율무밥(30),애호박두부된장국,매콤콩나물무침,연근흑임자샐러드,깍두기,S연두부샐러드(오리엔탈드레싱),S쌀음료,쌀밥,표고버섯탕,가지나물무침,더덕사과무침,총각김치
256,파프리카유부초밥,두부대합탕국,가지구이,무말랭이,동치미,S우유(100ml),S건포도감자볼,율무밥,김치두부국,돼지고기김치볶음,매콤주꾸미볶음,열무물김치,S오징어채소죽,S단호박식혜,밤콩밥(40),만두닭개장,팽이버섯나물,empty,단무지
257,치즈채소볶음밥,순두부백탕,감자버터구이,다시마튀각,깍두기,S우유미숫가루,S쌀음료,흑미밥(40),감자국,주꾸미볶음,취나물된장무침,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S당근스프,콩밥,달래된장국,애호박볶음,돼지고기케첩조림,총각김치
258,밤찹쌀팥밥(30),콩나물국,알감자조림,얼갈이무침,열무물김치,S단호박식혜,S바나나쉐이크,흑미밥(30),두부감자국,소고기토마토조림,청경채초무침,갓김치,S귤(50g),S달걀죽,소고기카레라이스,모듬버섯국,새우살크림소스볶음,닭가슴살샐러드(머스타드소스),석박지
259,고구마밥(30),느타리버섯국,채소크로켓,건새우애호박볶음,깍두기,S수제바나나우유,S쌀음료,검정콩밥,만두국,애호박건새우볶음,고구마순된장무침,나박김치,S연두부샐러드(오리엔탈드레싱),empty,소고기가지덮밥,조랭이떡미역국,느타리버섯나물,empty,총각김치
260,일본식소고기덮밥(규동),다시마감자국,매콤낙지채소볶음,미트볼피망조림,오이피클,S건포도감자볼,S단호박식혜,찹쌀밥(추가),미니유부우동,토마토치즈샐러드,애호박생선살찜,비트초절이,S요구르트,S냉콩국+소면,팥밥(30),버섯맑은국,도라지들깨나물,닭가슴살데리야끼조림,오이소박이김치
261,옥수수밥,애호박맑은국,가지양념무침,단배추멸치조림,나박김치,S쌀음료,S연두부샐러드(오리엔탈드레싱),찹쌀현미밥(30),만두닭개장,우엉채곤약조림,채소크로켓,깍두기,S우유(100ml),S소고기우엉죽,닭살카레감자밥+양념장,두부전골,도라지무침,팽이버섯부추나물,총각김치
262,콩밥(30),쑥완자탕,닭살카레조림,녹두전,파김치,S참외샐러드,S우유(200ml),완두콩밥,양파채국,애호박양파볶음,애호박볶음,열무김치,S보리차,S청경채죽,채소주먹밥,찹쌀옹심이국,순살간장닭갈비,무말랭이,단무지
263,찹쌀밥(추가),느타리버섯국,가지무침,가지양념찜,비트초절이,S우유(100ml),S참깨우유스프,소고기굴소스볶음밥,만두국,우엉채곤약조림,채소크로켓,나박김치,S토마토주스,S연두부샐러드(오리엔탈드레싱),팥밥(30),게살스프,애호박건새우볶음,empty,총각김치
264,닭살카레감자밥+양념장,우렁이된장국,건새우애호박볶음,느타리버섯나물,열무물김치,S쌀음료,S두부채소죽,수수밥(30),닭개장,안매운오삼불고기,도라지나물,오이소박이김치,S건포도감자볼,S복숭아호두스무디,밤콩밥,애호박새우젓국,고구마순된장무침,진미채무말랭이무침,깍두기
265,팥밥(30),어탕국수,팽이버섯나물,채소크로켓,비트초절이,S우유(100ml),S소고기우엉죽,찹쌀밥(추가),팥죽,팽이버섯부추나물,우엉채곤약조림,총각김치,S토마토주스,S연두부샐러드(오리엔탈드레싱),새우크림스파게티,empty,애호박건새우볶음,empty,동치미
